XPAR,PA
XAMS,AS
XBRU,BR
XLIS,LS
XLON,L
XLOM,L
AIMX,L
XDUB,I
XFRA,F
XETR,DE
XMIL,MI
XOSL,OL
XSTO,ST
XCSE,CO
XHEL,HE
XWAR,WA
XBUD,BU
XPSE,P
XIST,IS
ARCX,N
FNFI,HE
FNSE,ST
MTAA,MI
MTAH,MI
SEDX,MI
WBAH,VI
XATH,AT
XFND,CO
XJSE,J
XMAD,MC
XNAS,O
XNYS,N
XPRA,PR
XSWX,S
XTSE,TO
XVTX,VX
XWBO,VI
XMCE,MC
BATS,Z
XBSE,RE
XCYS,CY
XMEX,MX
ETFP,MI
XTAE,TA
XMLI,PA
ALXP,PA
XASE,A
PINX,PNK
XTSX,V
MABX,MC
XHKG,HK
