XSAT;NO;derivatives;Broker_Citigroup;100
XSWX;NO;;Broker_MS;100
XVTX;NO;;Broker_MS;100
XWAR;NO;;Broker_MS;100
XDMI;NO;;Broker_MS;100
XEUE;NO;;Broker_Citigroup;100
XBRD;NO;;Broker_Citigroup;100
MFOX;NO;;Broker_Citigroup;100
OPRA;NO;;Broker_MS;100
XSFE;NO;;Broker_MS;100
XSAF;NO;;Broker_MS;100
XNYS;NO;;Broker_Knight;100
XNAS;NO;;Broker_Knight;100
ETFP;NO;;Broker_Knight;100
XNYM;NO;;Broker_Citigroup;100
XCEC;NO;;Broker_Citigroup;100
XHKG;NO;;Broker_MS;100
XASE;NO;;Broker_Knight;100
ALXP;NO;;Broker_MS;100
XMLI;NO;;Broker_Knight;100
MABX;NO;;Broker_MS;100
NZFX;NO;;Broker_MS;100
BATS;NO;;Broker_Knight;100
FNFI;NO;;Broker_MS;100
FNSE;NO;;Broker_MS;100
MIVX;NO;;Broker_MS;100
PURE;NO;;Broker_MS;100
SEDX;NO;;Broker_MS;100
XIST;NO;;Broker_MS;100
FNFI;NO;;Broker_MS;100
XMIL;NO;;Broker_MS;100
XAIM;NO;;Broker_Knight;100
XMOD;NO;;Broker_MS;100
XNZE;NO;;Broker_MS;100
XPHS;NO;;Broker_MS;100
XSES;NO;;Broker_MS;100
XMGE;NO;;Broker_Citigroup;100
