*,P_05001239950,*,*,BGPI,BANASSAT INVEST,0099058000
*,P_05001239970,*,*,BGPI,LA FORCE MULTI ACTIFS,0099058000
*,P_05001239990,*,*,BGPI,DOUCE FAMILLE,0099058000
*,P_05001240010,*,*,BGPI,JP2H,0099058000
*,P_05001240030,*,*,BGPI,MISUKASE,0099058000
*,P_05001240070,*,*,BGPI,ADVITAM,0099058000
*,P_05001240140,*,*,BGPI,ADVIT OBL OP,0099058000
*,P_05001240160,*,*,BGPI,ADVIT MONET,0099058000
*,P_05001240190,*,*,BGPI,ADVIT BH USD,0099058000
*,P_05001240210,*,*,BGPI,ADVIT BH EUR,0099058000
*,P_05001240230,*,*,BGPI,ADVIT ACT US,0099058000
*,P_05001240250,*,*,BGPI,ADVIT ACT EU,0099058000
*,P_05001240290,*,*,BGPI,ADVIT ACT EM,0099058000
*,P_05001240320,*,*,BGPI,ADVIT ACT BR,0099058000
*,P_05001240390,*,*,BGPI,VALOA,0099058000
*,P_05001240410,*,*,BGPI,MG INVEST,0099058000
*,P227_05001238260,*,*,BGPI,INDOSUEZ EUROPE EXPANSION,0099058000
*,P227_05001238320,*,*,BGPI,VENDOME INVESTISSEMENT,0099058000
*,P227_05001238380,*,*,BGPI,VENDOME FRANCE,0099058000
*,P227_05001238390,*,*,BGPI,INDOSUEZ ALLOCATION 30,0099058000
*,P227_05001238430,*,*,BGPI,VENDOME SELECTION,0099058000
*,P227_05001173650,*,*,BGPI,VENDOME SELECTION EUROPE,0099058000
*,P227_05001238460,*,*,BGPI,INDOSUEZ ALLOCATION PEA,0099058000
*,P227_05001238480,*,*,BGPI,CHOISEUL EUROPE,0099058000
*,P227_05001238540,*,*,BGPI,JUNOT STRATEGIE,0099058000
*,P227_05001173610,*,*,BGPI,INDOSUEZ ALLOCATION 60,0099058000
*,P227_05001238580,*,*,BGPI,NYALI,0099058000
*,P227_05001238600,*,*,BGPI,NJT,0099058000
*,P227_05001238620,*,*,BGPI,INDOSUEZ EUROPE RENDEMENT,0099058000
*,P227_05001238680,*,*,BGPI,SOLIPRO,0099058000
*,P227_05001238700,*,*,BGPI,INDOSUEZ EUROPE PATRIMOINE,0099058000
*,P227_05001238760,*,*,BGPI,CEP 2004,0099058000
*,P227_05001238780,*,*,BGPI,INDOSUEZ ALLOCATION  100,0099058000
*,P227_05001238820,*,*,BGPI,FLORISSIME DYNAMISME,0099058000
*,P227_05001238870,*,*,BGPI,FLORISSIME EQUILIBRE,0099058000
*,P227_05001238920,*,*,BGPI,FLORISSIME EXPANSION,0099058000
*,P227_05001238970,*,*,BGPI,FLORISSIME PRUDENCE,0099058000
*,P227_05001239020,*,*,BGPI,CARIDOR,0099058000
*,P227_05001239040,*,*,BGPI,MUTUALIA SERENITE,0099058000
*,P227_05001239060,*,*,BGPI,PATRIMOINE CROISSANCE,0099058000
*,P227_05001239090,*,*,BGPI,INDOSUEZ SERENITE PLUS,0099058000
*,P227_05001239120,*,*,BGPI,NEMAUSUS,0099058000
*,P227_05001239140,*,*,BGPI,SOLAR OKIPA FCP,0099058000
*,P227_05001239160,*,*,BGPI,ROMACO SICAV,0099058000
*,P227_05001239180,*,*,BGPI,APV,0099058000
*,P227_05001239200,*,*,BGPI,DANAE,0099058000
*,P227_05001239220,*,*,BGPI,DELPHI,0099058000
*,P227_05001173630,*,*,BGPI,ACLODE,0099058000
*,P227_05001239240,*,*,BGPI,INDOSUEZ OBLIG CONVICTIONS,0099058000
*,P227_05001239260,*,*,BGPI,JMV,0099058000
*,P227_05001239280,*,*,BGPI,INDOSUEZ BIENS REELS,0099058000
*,P227_05001239340,*,*,BGPI,TANA PLACEMENTS,0099058000
*,P227_05001239360,*,*,BGPI,INDOSUEZ ALLOCATION MANDAT,0099058000
*,P227_05001239400,*,*,BGPI,INDOSUEZ CAP EMERGENTS,0099058000
*,P227_05001195710,*,*,BGPI,INDOSUEZ OBLIG OPPORTUNITES,0099058000
*,P227_05001239420,*,*,BGPI,CALIFORNIA 09,0099058000
*,P227_05001239440,*,*,BGPI,CACEAD 2012,0099058000
*,P227_05001239460,*,*,BGPI,CADEISDA,0099058000
*,P227_05001239480,*,*,BGPI,EMIL,0099058000
*,P227_05001239500,*,*,BGPI,PROGRESS,0099058000
*,P227_05001239520,*,*,BGPI,F.D.J.A. 86,0099058000
*,P227_05001239540,*,*,BGPI,INVEST LP,0099058000
*,P227_05001239560,*,*,BGPI,SHAGASTIA,0099058000
*,P227_05001239580,*,*,BGPI,SFPG INVEST LT,0099058000
