BLOMINVEST,00500083842,PROP ACCOUNT,0621248754
BLOMINVEST,00500083843,US CLIENTS,0621248754
BLOMINVEST,00500083844,NON US CLIENTS,0621248754
BLOMINVEST,05000901070,FUTURES,0621248754
LBPAM,*,PENDING CTM,0601756000
