XAMS,gtc,Broker_Knight
XAMS,gtd,Broker_Knight
XBRU,gtc,Broker_Knight
XBRU,gtd,Broker_Knight
XPAR,gtc,Broker_Knight
XPAR,gtd,Broker_Knight
XLIS,gtc,Broker_Knight
XLIS,gtd,Broker_Knight
XFRA,gtc,Broker_Knight
XFRA,gtd,Broker_Knight
XETR,gtc,Broker_MS
XETR,gtd,Broker_MS
XMIL,gtc,Broker_Knight
XMIL,gtd,Broker_Knight
XSWX,gtc,Broker_MS
XSWX,gtd,Broker_MS
XVTX,gtc,Broker_MS
XVTX,gtd,Broker_MS
XASX,gtc,Broker_MS
XASX,gtd,Broker_MS
XTKS,gtc,Broker_MS
XTKS,gtd,Broker_MS
XHKG,gtc,Broker_MS
XHKG,gtd,Broker_MS
XSES,gtc,Broker_MS
XSES,gtd,Broker_MS
XNYS,gtc,Broker_Knight
XNYS,gtd,Broker_Knight
XNAS,gtc,Broker_Knight
XNAS,gtd,Broker_Knight
ARCX,gtc,Broker_Knight
ARCX,gtd,Broker_Knight
BATS,gtc,Broker_Knight
BATS,gtd,Broker_Knight
BATY,gtc,Broker_Knight
BATY,gtd,Broker_Knight
XTSE,gtc,Broker_Knight
XTSE,gtd,Broker_Knight
XTSX,gtc,Broker_Knight
XTSX,gtd,Broker_Knight
