11299188,CAM_CRP,*,CARPO GL FUND,0621222063
13582802,CAM_CRP,*,CARPO GL FUND,0621222063
9054855,CAM_LHT,*,LIONHEART,0621222063
9144550,CAM_LHT,*,LIONHEART,0621222063
11299188,CAM_LHT,*,LIONHEART,0621222063
13582802,CAM_LHT,*,LIONHEART,0621222063
2553474,7H ACTIVYT,*,7HA,0621116682
2553474,7H OPPORTUNITIES,*,7HEO,0621116682
2553474,ARBITRAGE,*,GEN ARB,0621116682
2553474,MAIN,*,GWN MAIN,0621116682
4514147,7H ACTIVYT,*,7HA,0621116682
4514147,7H OPPORTUNITIES,*,7HEO,0621116682
4514147,ARBITRAGE,*,GEN ARB,0621116682
4514147,MAIN,*,GWN MAIN,0621116682
10656557,7H ACTIVYT,*,7HA,0621116682
10656557,7H OPPORTUNITIES,*,7HEO,0621116682
10656557,ARBITRAGE,*,GEN ARB,0621116682
10656557,MAIN,*,GWN MAIN,0621116682
5973996,BLOCK,*,BLOCK,0600600000
5421056,BLOCK,*,BLOCK,0600600000
13889620,*,*,AISMD,0621161648
11971803,*,*,ERROR EQU PFS,0224446000
6031135,CONTINGENT,*,CONTINGENT,0621165493
7694340,ABSOLUTE,*,ABSOLUTE,LUX3001027
7694340,COSMO,*,COSMO,LUX3001027
4791535,CAM_FK,*,GROWTH,0621222063
4791535,CAM_GALAAD,*,GALAAD,0621222063
4791535,CAM_CRP,*,CARPO GL FUND,0621222063
4791535,CAM_LHT,*,LIONHEART,0621222063
4678643,CAM_FK,*,GROWTH,0621222063
4678643,CAM_GALAAD,*,GALAAD,0621222063
4678643,CAM_CRP,*,CARPO GL FUND,0621222063
4678643,CAM_LHT,*,LIONHEART,0621222063
9374692,DIVIDENDES,*,DIVIDENDES,0621238422
10120570,DIVIDENDES,*,DIVIDENDES,0621238422
8177272,CAM FK,*,GROWTH,0621222063
8177272,CAM_GALAAD,*,GALAAD,0621222063
8177272,CAM_CRP,*,CARPO GL FUND,0621222063
8177272,CAM_LHT,*,LIONHEART,0621222063
14051984,ALPHA NOVA,*,ALPHA_NOVA,0613517000
12748158,ALPHA NOVA,*,ALPHA_NOVA,0613517000
10238015,ALPHA NOVA,*,ALPHA_NOVA,0613517000
14051984,ADAMANT,*,ADAMANT,0613517000
12748158,ADAMANT,*,ADAMANT,0613517000
10238015,ADAMANT,*,ADAMANT,0613517000
14051984,EONOS5,*,EONOS5,0613517000
