ISAEFRPPXXX,*,I86,20,0224446001,COST TVA RESTR
ISAEFRPPXXX,*,*,20,0224446001,COST TVA
ISAEFRPPXXX,*,I86,*,0224446001,COST SS TVA RESTR
CELLLULLXXX,02171504080,*,*,0062201000,ING
BAWAATW0,*,*,*,0621245846,19640
ISAEFRPPXXX,*,*,*,0224446001,COST SS TVA
